swap_number,battery_id,datetime,day_of_week,station_id,customer_id,charge_Remaining,provided_battery_id,provided_battery_charge,charging_destination,swap_success
1,947,01/01/2023 0:03,Sunday,15,610,45,841,85,residential area,1
2,853,01/01/2023 0:05,Sunday,11,274,1,419,94,solar farm,1
3,27,01/01/2023 0:06,Sunday,16,27,32,651,76,same station,1
4,410,01/01/2023 0:07,Sunday,8,214,47,140,75,solar farm,1
5,575,01/01/2023 0:09,Sunday,12,262,18,840,63,same station,1
6,542,01/01/2023 0:10,Sunday,12,521,31,906,63,same station,1
7,440,01/01/2023 0:13,Sunday,9,453,22,13,80,solar farm,1
8,977,01/01/2023 0:14,Sunday,14,207,37,726,67,same station,1
9,142,01/01/2023 0:16,Sunday,13,678,59,147,87,solar farm,1
10,639,01/01/2023 0:25,Sunday,8,200,31,593,91,residential area,1
11,378,01/01/2023 0:30,Sunday,19,86,57,916,96,solar farm,1
12,537,01/01/2023 0:30,Sunday,16,244,35,80,60,solar farm,1
13,873,01/01/2023 0:30,Sunday,18,592,31,858,74,solar farm,1
14,860,01/01/2023 0:34,Sunday,19,25,2,335,89,same station,1
15,263,01/01/2023 0:34,Sunday,5,591,52,737,58,same station,1
16,515,01/01/2023 0:36,Sunday,20,468,38,86,67,residential area,1
17,700,01/01/2023 0:40,Sunday,3,514,27,408,90,same station,1
18,16,01/01/2023 0:41,Sunday,1,681,16,77,92,same station,1
19,587,01/01/2023 0:44,Sunday,9,483,31,128,76,solar farm,1
20,4,01/01/2023 0:44,Sunday,10,608,38,407,65,residential area,1
21,108,01/01/2023 0:45,Sunday,13,680,34,361,55,solar farm,1
22,492,01/01/2023 0:48,Sunday,7,208,60,84,66,same station,1
23,402,01/01/2023 0:49,Sunday,20,242,32,767,65,same station,1
24,814,01/01/2023 0:50,Sunday,18,612,11,406,94,residential area,1
25,435,01/01/2023 0:50,Sunday,11,652,2,108,97,solar farm,1
26,295,01/01/2023 0:57,Sunday,4,344,57,559,72,same station,1
27,429,01/01/2023 1:01,Sunday,9,439,38,853,88,solar farm,1
28,314,01/01/2023 1:03,Sunday,3,509,59,581,62,same station,1
29,671,01/01/2023 1:03,Sunday,7,334,16,308,80,solar farm,1
30,875,01/01/2023 1:03,Sunday,3,420,45,305,91,solar farm,1
31,829,01/01/2023 1:09,Sunday,20,427,55,610,77,residential area,1
32,918,01/01/2023 1:11,Sunday,2,637,26,467,97,same station,1
33,971,01/01/2023 1:13,Sunday,20,174,45,682,91,same station,1
34,615,01/01/2023 1:13,Sunday,5,612,45,241,90,same station,1
35,730,01/01/2023 1:14,Sunday,6,390,59,862,58,solar farm,0
36,713,01/01/2023 1:14,Sunday,15,142,18,953,80,residential area,1
37,208,01/01/2023 1:16,Sunday,19,449,38,705,88,solar farm,1
38,197,01/01/2023 1:17,Sunday,1,312,13,7,93,residential area,1
39,279,01/01/2023 1:20,Sunday,15,146,14,955,80,solar farm,1
40,709,01/01/2023 1:24,Sunday,4,84,3,51,79,same station,1
41,793,01/01/2023 1:25,Sunday,9,81,4,581,97,solar farm,1
42,705,01/01/2023 1:39,Sunday,9,565,49,154,98,solar farm,1
43,977,01/01/2023 1:42,Sunday,16,90,33,551,55,same station,1
44,448,01/01/2023 1:42,Sunday,2,559,31,273,96,solar farm,1
45,881,01/01/2023 1:43,Sunday,14,299,18,860,87,same station,1
46,529,01/01/2023 1:46,Sunday,2,353,49,644,84,solar farm,1
47,311,01/01/2023 1:47,Sunday,8,180,2,127,94,residential area,1
48,153,01/01/2023 1:47,Sunday,19,19,45,734,92,residential area,1
49,27,01/01/2023 1:49,Sunday,3,277,13,193,98,same station,1
50,145,01/01/2023 1:53,Sunday,20,377,56,946,93,same station,1
51,269,01/01/2023 1:56,Sunday,20,568,35,505,80,solar farm,1
52,69,01/01/2023 2:02,Sunday,13,569,49,117,70,residential area,1
53,278,01/01/2023 2:07,Sunday,13,386,52,36,73,same station,1
54,845,01/01/2023 2:08,Sunday,7,654,24,55,66,residential area,1
55,166,01/01/2023 2:09,Sunday,15,107,60,721,91,same station,1
56,675,01/01/2023 2:11,Sunday,17,420,27,796,87,solar farm,1
57,902,01/01/2023 2:16,Sunday,6,551,57,576,65,solar farm,1
58,11,01/01/2023 2:17,Sunday,9,602,1,632,68,solar farm,1
59,569,01/01/2023 2:18,Sunday,4,288,18,515,83,residential area,1
60,327,01/01/2023 2:20,Sunday,14,643,25,901,66,solar farm,1
61,867,01/01/2023 2:20,Sunday,8,218,19,421,70,same station,1
62,611,01/01/2023 2:26,Sunday,19,451,25,178,56,residential area,1
63,83,01/01/2023 2:28,Sunday,19,658,54,624,73,solar farm,1
64,347,01/01/2023 2:28,Sunday,5,200,32,681,80,solar farm,1
65,56,01/01/2023 2:29,Sunday,12,399,43,843,57,residential area,1
66,180,01/01/2023 2:30,Sunday,7,325,60,916,80,same station,1
67,225,01/01/2023 2:31,Sunday,3,569,25,843,93,solar farm,1
68,681,01/01/2023 2:32,Sunday,1,597,33,391,74,solar farm,1
69,951,01/01/2023 2:35,Sunday,13,660,24,320,88,residential area,1
70,646,01/01/2023 2:35,Sunday,1,438,7,840,88,solar farm,1
71,137,01/01/2023 2:38,Sunday,18,50,19,956,71,solar farm,1
72,91,01/01/2023 2:41,Sunday,3,180,8,209,85,same station,1
73,356,01/01/2023 2:46,Sunday,14,39,10,509,79,residential area,1
74,774,01/01/2023 2:46,Sunday,2,475,18,677,69,residential area,1
75,767,01/01/2023 2:49,Sunday,20,567,46,430,85,residential area,1
76,296,01/01/2023 2:52,Sunday,8,624,35,309,62,solar farm,1
77,556,01/01/2023 2:52,Sunday,4,259,51,674,87,same station,1
78,401,01/01/2023 2:52,Sunday,20,183,26,820,71,same station,1
79,769,01/01/2023 2:55,Sunday,10,471,46,507,86,same station,1
80,315,01/01/2023 2:57,Sunday,11,170,37,297,74,same station,1
